	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YIR012W	gene-YIR012W	1539.3778135534	5.33199982637924	0.414623997192808	12.8598437680387	7.5729576329751e-38	1.6928472985712e-35
gene-YOL041C	gene-YOL041C	1901.43930080129	5.68972191296451	0.443825572936792	12.8197252702579	1.27150242510941e-37	2.63927574811995e-35
gene-YJL148W	gene-YJL148W	1277.94006288366	5.22651322502964	0.407676813138569	12.820236659506	1.26314392785073e-37	2.63927574811995e-35
gene-YLR327C	gene-YLR327C	14476.813845805	-5.02497589277365	0.392678066048706	-12.7966808621044	1.71109680184324e-37	3.42927400424583e-35
gene-YOL151W	gene-YOL151W	10482.8528490074	5.9803730265221	0.47003892822653	12.7231441214586	4.39800643090254e-37	8.52040445880185e-35
gene-YBL028C	gene-YBL028C	858.086555634266	5.39167649163862	0.424119417312776	12.7126376948274	5.0308408802222e-37	9.43201522446821e-35
gene-YOL080C	gene-YOL080C	383.022529413626	6.2520667097414	0.492059783189633	12.7059087601393	5.48287776072981e-37	9.95827673292551e-35
gene-YDL063C	gene-YDL063C	1078.81969040012	5.56272406246886	0.439075973503331	12.6691606878067	8.76471518030741e-37	1.54365226145293e-34
gene-YML018C	gene-YML018C	802.136865039722	5.83720828650186	0.461165402144723	12.657515631821	1.01665992703522e-36	1.73789043997902e-34
gene-YHR196W	gene-YHR196W	1195.97280606714	5.15826105732399	0.408087903512404	12.6400734080254	1.26935388412525e-36	2.10785279272456e-34
gene-YNR060W	gene-YNR060W	1990.41838829143	6.43185922383028	0.511052177423949	12.5855235687503	2.53655376520401e-36	4.09512513426824e-34
gene-YPL212C	gene-YPL212C	1385.38382215345	5.22745302374151	0.418701295584098	12.4849220168977	9.02317029172054e-36	1.41736934420216e-33
gene-YBL039C	gene-YBL039C	2044.41578406199	6.18479338060809	0.496510670091782	12.4565165527355	1.28878073302215e-35	1.97115621587492e-33
gene-YLR264C-A	gene-YLR264C-A	400.248635981582	6.38284724243378	0.51376188421194	12.4237461722651	1.94248036728008e-35	2.89479381913636e-33
gene-YJR063W	gene-YJR063W	779.813087802612	5.28313891758817	0.425401663317253	12.4191778574409	2.05664086035184e-35	2.98829917009123e-33
gene-YDR037W	gene-YDR037W	4853.79395847213	5.21348113344107	0.423782270494938	12.3022634414418	8.80710780422732e-35	1.24846123312608e-32
gene-YNL182C	gene-YNL182C	617.684630765346	5.51250066475316	0.453063458100445	12.1671712123184	4.64916777003138e-34	6.43356263795771e-32
gene-YDR449C	gene-YDR449C	839.750805240849	5.17949173609408	0.427101478438081	12.1270751743487	7.59125794649947e-34	1.02605560895477e-31
gene-YMR093W	gene-YMR093W	864.330009172749	5.1875314815381	0.429616119863025	12.0748064183254	1.43501552828698e-33	1.89552505690998e-31
gene-YLR224W	gene-YLR224W	721.5466455588	5.0971794339153	0.422221514276099	12.0722873221049	1.47963579540683e-33	1.91103183175656e-31
gene-YJL069C	gene-YJL069C	727.916760733359	5.18254207458275	0.43062213840141	12.035010772604	2.32603662144691e-33	2.93889670518466e-31
gene-YKR097W	gene-YKR097W	21617.210237944	-4.70702264993701	0.392816277978412	-11.9827586426948	4.37518314053035e-33	5.41033285377923e-31
gene-YBR105C	gene-YBR105C	2415.01360891287	4.91950199309768	0.415084699160135	11.8518027839899	2.10610503964579e-32	2.55014218550445e-30
gene-YNL248C	gene-YNL248C	1315.18220278787	5.28812159181625	0.44858000521568	11.7885806998323	4.47010612017896e-32	5.30209321846533e-30
gene-YER049W	gene-YER049W	1370.18525632081	5.21567303168236	0.443229597398949	11.7674294818984	5.74484034577704e-32	6.67780241793123e-30
gene-YKL078W	gene-YKL078W	495.007340736861	6.07743421251321	0.517058344500037	11.7538654528237	6.74607679827847e-32	7.68788202972441e-30
gene-YGR128C	gene-YGR128C	841.037337047008	4.91001540565029	0.422144232886186	11.6311322603667	2.86274899296216e-31	3.19967252828771e-29
gene-YJL025W	gene-YJL025W	239.388199924515	6.30541817096431	0.544234494054518	11.585848085426	4.86131194353516e-31	5.33093302185403e-29
gene-YPL068C	gene-YPL068C	278.55232555132	6.29108968166267	0.544124612429355	11.5618546523283	6.43047233843028e-31	6.9210935612883e-29
gene-YNL075W	gene-YNL075W	802.699465240076	4.95559215382594	0.429072707087901	11.5495394416003	7.4217076309388e-31	7.84272086382115e-29
gene-YLR413W	gene-YLR413W	655.780662518778	5.39410951349323	0.469368260736431	11.4922758199073	1.44260595804512e-30	1.4972188978854e-28
gene-YKR092C	gene-YKR092C	2179.86669228846	5.46349238932206	0.475654055491642	11.4862731143434	1.54640476904238e-30	1.57679026625865e-28
gene-YKL029C	gene-YKL029C	5048.16510968938	5.54757255233868	0.485709554244992	11.4215841624982	3.26232505109521e-30	3.21366664355345e-28
gene-YIL053W	gene-YIL053W	34470.0906615795	5.21745868583717	0.456769417277066	11.42252193008	3.22730694854233e-30	3.21366664355345e-28
gene-YGL035C	gene-YGL035C	649.888335437358	5.33122687227039	0.467057947277855	11.4144870103213	3.53986314897658e-30	3.42894743697532e-28
gene-YOR226C	gene-YOR226C	580.407505464329	6.33518574419991	0.556713689222223	11.3796119385006	5.28343048199684e-30	5.03398327235502e-28
gene-YGL120C	gene-YGL120C	1323.25168596768	5.13899416029712	0.45260976081301	11.3541390514117	7.07332236380495e-30	6.63066928684425e-28
gene-YHR085W	gene-YHR085W	377.949312021591	5.59680205470465	0.493250651420052	11.3467707312533	7.69525216718077e-30	7.09917549137375e-28
gene-YOR004W	gene-YOR004W	599.98472001834	4.87227811075457	0.430707153108942	11.312275813358	1.14091254715319e-29	1.03609120688349e-27
gene-YLR435W	gene-YLR435W	394.342815569313	5.34538267327529	0.476148175513575	11.2263008621418	3.02895730169474e-29	2.70835382114613e-27
gene-YPL081W	gene-YPL081W	1679.08881599988	4.75732063441102	0.424196503210344	11.2148982804133	3.44582350954556e-29	3.03441306628466e-27
gene-YER073W	gene-YER073W	875.422391781474	6.17741099518441	0.55151334188384	11.2008369082855	4.03899659146484e-29	3.50367883426771e-27
gene-YNL110C	gene-YNL110C	1231.38295082229	4.64896428363882	0.415403308097166	11.1914474271625	4.49042798912592e-29	3.83799521658821e-27
gene-YGR208W	gene-YGR208W	416.202219078678	6.12355408283862	0.54724398665842	11.18980606846	4.57433013257778e-29	3.85304445370175e-27
gene-YMR081C	gene-YMR081C	2811.65853791094	-4.79343982398656	0.428747124151377	-11.1801095656892	5.10269499742393e-29	4.23669476071827e-27
gene-YNL299W	gene-YNL299W	234.928891036146	5.85041519565512	0.524487614563187	11.1545345079837	6.80480220687052e-29	5.57035358117345e-27
gene-YPR137W	gene-YPR137W	907.380194332538	4.62072226655642	0.415972573876796	11.1082377943624	1.143947065157e-28	9.23419492040625e-27
gene-YFL034C-A	gene-YFL034C-A	1134.86212589547	5.38446689408579	0.485478139080165	11.0910594332584	1.38636037881922e-28	1.10377075639689e-26
gene-YNR053C	gene-YNR053C	1315.06630073475	4.53918794960424	0.409361715142493	11.0884525389098	1.42735502529781e-28	1.12105235230147e-26
gene-YIL079C	gene-YIL079C	350.975868047185	5.18477105324126	0.46821103676492	11.0735771823432	1.68535890241914e-28	1.30604079211467e-26
gene-YKR081C	gene-YKR081C	1338.40450729936	4.54064149731327	0.410884131647606	11.050904981669	2.17016065210599e-28	1.65960180395263e-26
gene-YNL113W	gene-YNL113W	1030.64649367106	4.60157417165169	0.416551504380087	11.0468312399922	2.27089568313535e-28	1.71408385849125e-26
gene-YHR052W	gene-YHR052W	1667.91978291348	4.50716424434437	0.408304702775441	11.038727239013	2.48528495807298e-28	1.85185592004105e-26
gene-YDR342C	gene-YDR342C	2154.05059200441	-4.5064083814759	0.409683420529559	-10.9997333444709	3.83263563495013e-28	2.81965548232027e-26
gene-YHR208W	gene-YHR208W	5097.14893918229	4.82267850417712	0.440239569141412	10.9546684174316	6.31090653047371e-28	4.58487359438915e-26
gene-YHR022C	gene-YHR022C	392.558156963748	6.18968553236242	0.565320847814215	10.9489780118574	6.72015291592882e-28	4.82191712930596e-26
gene-YPL030W	gene-YPL030W	463.137119563909	5.04516008353798	0.463020076438248	10.8962015693737	1.20169771169563e-27	8.51739890289638e-26
gene-YOR108W	gene-YOR108W	894.326239233582	5.2594647513273	0.483851019092361	10.8700086261952	1.60185703014354e-27	1.1216859107463e-25
gene-YLR022C	gene-YLR022C	658.94349712751	4.57372706571843	0.421036898906297	10.8630076784228	1.72957073463265e-27	1.19669822734345e-25
gene-YPL093W	gene-YPL093W	3491.41401252853	4.59292482135888	0.423549236317035	10.8438982473362	2.13188920770036e-27	1.457710597077e-25
gene-YLL011W	gene-YLL011W	916.240623635357	4.53954433831652	0.420396176516273	10.7982531523828	3.50814212465466e-27	2.37085139866196e-25
gene-YLR186W	gene-YLR186W	1341.9442556798	5.31460398437897	0.492384675502835	10.7936015249694	3.69037837474559e-27	2.465342426899e-25
gene-YAL012W	gene-YAL012W	1373.86219387232	4.74652081333029	0.442800219047299	10.7193280607282	8.2601225362894e-27	5.45543547510386e-25
gene-YLL034C	gene-YLL034C	583.698046634831	4.57049266676531	0.426663234093968	10.7121783681945	8.92369261369557e-27	5.82747207537064e-25
gene-YOR233W	gene-YOR233W	298.271776189011	5.19416554966508	0.485856014313823	10.6907507505096	1.12456962197978e-26	7.26222071438496e-25
gene-YNL124W	gene-YNL124W	792.711499851646	5.08504054112368	0.476766741877738	10.6656779814304	1.47320654934229e-26	9.40909501623889e-25
gene-YGR264C	gene-YGR264C	1302.09883898865	4.40717033089361	0.413522971520663	10.6576191273896	1.60657590067141e-26	1.01493686246763e-24
gene-YKL023C-A	gene-YKL023C-A	403.72628844055	4.66205808249509	0.437545411668851	10.6550267884502	1.65197097589447e-26	1.03239304429018e-24
gene-YOR375C	gene-YOR375C	6564.16657473163	4.65751823159823	0.437512533605885	10.6454509844826	1.83095488386632e-26	1.13207550904585e-24
gene-YDR101C	gene-YDR101C	1447.32630046745	4.59386455917577	0.431811958639945	10.6385765082672	1.97117721691134e-26	1.20594547207249e-24
gene-YCR021C	gene-YCR021C	60779.4743553479	-4.45080453624653	0.418637062777351	-10.6316543182266	2.12312503347902e-26	1.28537528068542e-24
gene-YNL117W	gene-YNL117W	7960.13512910279	-4.79076069593684	0.4513733557556	-10.6137427804463	2.57233863073186e-26	1.54128166204263e-24
gene-YAL025C	gene-YAL025C	1354.27849099017	4.50043866564004	0.425368371766279	10.5800970743373	3.68576158606178e-26	2.18588227940725e-24
gene-YOR145C	gene-YOR145C	2259.12141737695	4.18842996162805	0.395949799019765	10.5781843354818	3.76177160176141e-26	2.20842591408457e-24
gene-YCL054W	gene-YCL054W	964.070160804595	4.40102232896541	0.416257057788341	10.5728473466587	3.98217214899695e-26	2.31443845299703e-24
gene-YNR001C	gene-YNR001C	5102.80230045026	-4.34695288737817	0.412235560211059	-10.5448275378101	5.36712362759107e-26	3.08848737857023e-24
gene-YKR024C	gene-YKR024C	642.152625729081	4.83566654927878	0.458685549652306	10.5424436260186	5.50495958427332e-26	3.13674755919574e-24
gene-YPR060C	gene-YPR060C	422.649741880573	5.11192195834562	0.485531379225278	10.5285099523378	6.38369478301325e-26	3.60213923095854e-24
gene-YCL036W	gene-YCL036W	482.528957397694	4.82191523358101	0.460197391238011	10.4779282225161	1.09107689990057e-25	6.09744129059821e-24
gene-YER056C	gene-YER056C	4203.28119979147	4.24943669011077	0.405996674444852	10.4666785655851	1.22879066601261e-25	6.80164890558601e-24
gene-YGR187C	gene-YGR187C	803.409889635003	4.54919357194364	0.435378844324799	10.4488163153602	1.48365336002412e-25	8.13489936647189e-24
gene-YJR124C	gene-YJR124C	302.994753700608	5.29209782840293	0.50744080316524	10.4289954520658	1.82810709810325e-25	9.92986771418325e-24
gene-YDL167C	gene-YDL167C	521.304099150467	4.49011658874177	0.431169298830158	10.4138133232683	2.14455337619103e-25	1.15408742800206e-23
gene-YML080W	gene-YML080W	288.736587428305	5.03103737248065	0.484206413022653	10.3902741417125	2.74562801219479e-25	1.46399908319964e-23
gene-YOR078W	gene-YOR078W	905.07454192647	4.23789610249711	0.408392891103919	10.3770075209726	3.15510139758211e-25	1.66704084752248e-23
gene-YHR169W	gene-YHR169W	483.296203123151	4.45533244034322	0.429509189895484	10.3730782603915	3.28760347743717e-25	1.72140102800584e-23
gene-YBL081W	gene-YBL081W	355.756502074109	4.7209543371537	0.455354091848064	10.3676554612557	3.4795706208701e-25	1.78966942022097e-23
gene-YLR363W-A	gene-YLR363W-A	425.887532486308	4.66047873846803	0.449499482323666	10.3681515146045	3.4615583381862e-25	1.78966942022097e-23
gene-YDR321W	gene-YDR321W	470.345163292001	4.75645601969447	0.459261710388504	10.3567441223673	3.90012502970637e-25	1.9883795326889e-23
gene-YBR195C	gene-YBR195C	207.260331022727	5.21669108606937	0.504071795205769	10.3491033136259	4.22423502681962e-25	2.13489165007614e-23
gene-YKL068W-A	gene-YKL068W-A	235.156385404665	5.10708246302088	0.495633583743788	10.3041493363794	6.74860803969823e-25	3.38128533851087e-23
gene-YBR169C	gene-YBR169C	4155.78434593995	-4.14166942811524	0.402047202556509	-10.3014506798691	6.94066229954771e-25	3.44778882777533e-23
gene-YPL211W	gene-YPL211W	929.456593943496	4.82132828032074	0.468523173610348	10.2904798564573	7.77877405292697e-25	3.83137583013657e-23
gene-YPR010C	gene-YPR010C	2469.76004467982	4.49251806849278	0.438823535251492	10.2376415748032	1.34474378489906e-24	6.56777384691877e-23
gene-YLL012W	gene-YLL012W	332.27446671612	4.6127630029889	0.450970686974547	10.2285206915217	1.47759134031877e-24	7.15646739161057e-23
gene-YBR034C	gene-YBR034C	963.482007648113	4.48643426176705	0.440521364530443	10.1843738420024	2.32854092267689e-24	1.11010345934967e-22
gene-YCL040W	gene-YCL040W	5518.88118293252	-4.02833555845368	0.395543547512842	-10.1843035584417	2.33022405438161e-24	1.11010345934967e-22
gene-YDR528W	gene-YDR528W	159.994202341775	5.93431873724938	0.584704909641315	10.1492541611969	3.33905439264782e-24	1.56504710726364e-22
gene-YJR073C	gene-YJR073C	5526.21064546257	-4.00876344578213	0.394979446598755	-10.1492963249161	3.33761220415967e-24	1.56504710726364e-22
gene-YJR097W	gene-YJR097W	267.139601781572	4.82490166651565	0.475551788508653	10.1459016307072	3.45572393188099e-24	1.60677339936739e-22
gene-YPL231W	gene-YPL231W	4932.05286880944	-4.10028317022156	0.404379903177324	-10.1396808743573	3.68300772858956e-24	1.6988603903621e-22
gene-YDL060W	gene-YDL060W	1256.13753907376	4.12136905276083	0.406561091019246	10.1371457913707	3.77982177140877e-24	1.72978930200219e-22
gene-YDR343C	gene-YDR343C	1003.73246107496	-4.2904529227038	0.423475666738668	-10.1315217371191	4.00369440543632e-24	1.81792749096843e-22
gene-YNL175C	gene-YNL175C	920.417959303382	4.58324619440974	0.453595819509894	10.1042514002045	5.28980148441829e-24	2.38328110290226e-22
gene-YBR187W	gene-YBR187W	833.446489821628	5.03976230992478	0.49931677639685	10.0933166041256	5.91369817003576e-24	2.63751229951634e-22
gene-YDL014W	gene-YDL014W	4115.44888587621	4.68341102987849	0.464034804997389	10.0928011852577	5.94484017957054e-24	2.63751229951634e-22
gene-YEL011W	gene-YEL011W	3247.78568239694	-4.42618811416373	0.438656121024212	-10.0903370590819	6.09598371778626e-24	2.68408010361922e-22
gene-YGL029W	gene-YGL029W	807.077025624608	5.13943023731647	0.510134753530417	10.0746522399204	7.15133248382469e-24	3.12507852601422e-22
gene-YLR002C	gene-YLR002C	494.691352285419	4.45191590235792	0.442042009053747	10.0712507209165	7.40305960456083e-24	3.21093898669459e-22
gene-YPL126W	gene-YPL126W	1224.47543699504	4.46163859875893	0.443906705383995	10.0508474971097	9.10807090197708e-24	3.9211931912808e-22
gene-YGL157W	gene-YGL157W	238.246226640256	5.40412587516074	0.53799871194891	10.0448676830177	9.6777471483095e-24	4.13581370779227e-22
gene-YOL077C	gene-YOL077C	1626.42851513732	4.53005143484466	0.451018384990808	10.0440504990434	9.75828952111901e-24	4.13979406545574e-22
gene-YNR054C	gene-YNR054C	550.280108978302	4.2561305270372	0.4242587365419	10.0319219392595	1.10347440025164e-23	4.64738638714677e-22
gene-YDL039C	gene-YDL039C	374.159073018775	4.57857933067752	0.457141700404798	10.0156676291469	1.30080643907096e-23	5.43905541286362e-22
gene-YLR333C	gene-YLR333C	2603.44631819417	3.98577924467454	0.398319478144401	10.0064884178965	1.42729018214428e-23	5.92529324187324e-22
gene-YDR496C	gene-YDR496C	1260.72304667901	4.41772783769133	0.441868454906223	9.99783485025853	1.55765382534817e-23	6.42062697370466e-22
gene-YPR110C	gene-YPR110C	1393.64529252395	4.06046068499599	0.406217920556059	9.99576946146973	1.59047176097181e-23	6.50973371462546e-22
gene-YIL104C	gene-YIL104C	296.998312782605	4.63761257130799	0.464545235880495	9.98312373717039	1.80687021718344e-23	7.34372706452458e-22
gene-YMR186W	gene-YMR186W	8250.20615559755	-3.87656363173179	0.389494118639722	-9.95281686221706	2.45144173396861e-23	9.8942912207122e-22
gene-YLR051C	gene-YLR051C	635.113590285908	4.16667900724215	0.419052723369844	9.94309015279865	2.70309144361726e-23	1.08347361864162e-21
gene-YDR222W	gene-YDR222W	940.779648403442	4.20671362603686	0.423180405695799	9.9407098471871	2.76847233054625e-23	1.10207953322841e-21
gene-YOR047C	gene-YOR047C	205.033895296957	5.16189146869454	0.520840299451118	9.91069906482724	3.74019924785551e-23	1.47877809717934e-21
gene-YLR174W	gene-YLR174W	1448.72825416274	-4.43507601680771	0.447706264913325	-9.90621834980651	3.91172831437734e-23	1.53614628129467e-21
gene-YDR299W	gene-YDR299W	998.03665130381	3.99719362080749	0.403793488024901	9.89910372343843	4.20022263620028e-23	1.63836872225477e-21
gene-YHR021W-A	gene-YHR021W-A	164.719812877241	6.13715038238642	0.620186086359069	9.89565957278376	4.34735156860227e-23	1.67547352017735e-21
gene-YBR267W	gene-YBR267W	1097.09798005934	4.04223113243092	0.40849063104294	9.89552960397276	4.35300243542291e-23	1.67547352017735e-21
gene-YGR008C	gene-YGR008C	3073.982640366	-4.67234301467024	0.474259404221571	-9.85187214650855	6.72789096171092e-23	2.57253304404368e-21
gene-YNR034W-A	gene-YNR034W-A	8244.29964755904	-3.87046181147593	0.393051926634534	-9.84720223766961	7.04785260718108e-23	2.65987788006081e-21
gene-YDR171W	gene-YDR171W	8892.34606480991	-4.09570840389892	0.415902996514883	-9.84774920647237	7.00961137069051e-23	2.65987788006081e-21
gene-YJR070C	gene-YJR070C	2608.69069967511	4.33396704262799	0.440460964940775	9.83961664618962	7.5999870385901e-23	2.81450161189587e-21
gene-YKL024C	gene-YKL024C	914.468145770108	4.26422959553565	0.433336243368853	9.840463752546	7.53626413417438e-23	2.81450161189587e-21
gene-YFR015C	gene-YFR015C	887.894152885535	-4.21072858715437	0.42793788296228	-9.83957895479312	7.60283470522456e-23	2.81450161189587e-21
gene-YNL077W	gene-YNL077W	2131.07071201347	-3.96146287028407	0.402682157999637	-9.83769156786838	7.74678979802644e-23	2.84964191810947e-21
gene-YNL123W	gene-YNL123W	620.107886300597	4.33390226436187	0.440882652253034	9.83005850244825	8.35702138353604e-23	3.05478039503846e-21
gene-YNL015W	gene-YNL015W	3243.25107417471	-4.02722114577998	0.410631137969619	-9.80739348139239	1.04636408423658e-22	3.80091753598938e-21
gene-YGR090W	gene-YGR090W	655.636521472138	4.07844511725915	0.416497530735227	9.7922432098448	1.21568368832024e-22	4.38854260653244e-21
gene-YPL240C	gene-YPL240C	10681.1104695208	-4.10270249775601	0.419079120553327	-9.78980411226177	1.24536923164485e-22	4.46795430513573e-21
gene-YCL064C	gene-YCL064C	1445.48201949701	-4.0103463997081	0.412509956098265	-9.72181723234042	2.43398243564926e-22	8.67871528588559e-21
gene-YBR155W	gene-YBR155W	458.659754846243	4.17624343698797	0.429743447864593	9.7179921130615	2.52715505622578e-22	8.95599096755136e-21
gene-YIL118W	gene-YIL118W	640.18577407271	4.69030705675477	0.482787432127709	9.71505624345679	2.60105387799855e-22	9.16201523571368e-21
gene-YNL194C	gene-YNL194C	2111.3277143623	-4.45417336059671	0.458915389582678	-9.70587054107551	2.84636007210407e-22	9.96568960184869e-21
gene-YLR304C	gene-YLR304C	5993.05084367488	-3.98738438375751	0.411043981553071	-9.70062709273043	2.99651204983584e-22	1.04285796608658e-20
gene-YOL010W	gene-YOL010W	666.481863993326	4.16638635400543	0.429554719035801	9.69931459106654	3.03530758594622e-22	1.05007188628092e-20
gene-YGR081C	gene-YGR081C	441.980937406117	4.18071665491603	0.431290365967781	9.69350809757793	3.21298893007424e-22	1.10496400364447e-20
gene-YCR057C	gene-YCR057C	1013.678769626	4.19111147701751	0.432721027045057	9.68548144202177	3.47567076081319e-22	1.18827049775566e-20
gene-YNR016C	gene-YNR016C	3127.54670011174	-3.8548533553969	0.398205597066019	-9.68056045369396	3.64711127308743e-22	1.23959127012773e-20
gene-YOL016C	gene-YOL016C	1512.94203448346	-4.04931965218979	0.418519572188361	-9.67534118181534	3.8380930006058e-22	1.29691840229773e-20
gene-YIL155C	gene-YIL155C	6255.82620663105	-4.54835340907399	0.471303849917635	-9.65057554668576	4.88806103007135e-22	1.64216246859969e-20
gene-YMR229C	gene-YMR229C	1930.0648060323	4.04269819988711	0.419085817011829	9.6464686605536	5.08776200664444e-22	1.69942947026537e-20
gene-YIL169C	gene-YIL169C	2963.90056484816	-4.0994835771522	0.425006716449197	-9.64569127613359	5.12646176404245e-22	1.70257118700656e-20
gene-YDR324C	gene-YDR324C	840.164743349774	4.12813823335783	0.42807640444443	9.64346128517747	5.2390989008023e-22	1.73009334156039e-20
gene-YBR021W	gene-YBR021W	789.855404211334	4.51892006157039	0.469753277751212	9.61977334826321	6.5976378556691e-22	2.16641080322874e-20
gene-YBR247C	gene-YBR247C	890.388202181612	3.914548815665	0.408894009219056	9.57350493625812	1.03341591228237e-21	3.37427712482312e-20
gene-YPL012W	gene-YPL012W	1253.43968398558	4.26832981867655	0.447069667838284	9.54734826747518	1.33058373939677e-21	4.32030876724805e-20
gene-YGL009C	gene-YGL009C	5118.35078653786	4.95783004936472	0.519679619828609	9.54016640290767	1.42603313280614e-21	4.60450253770514e-20
gene-YBR214W	gene-YBR214W	1586.98130423162	-4.23673408166063	0.444367250041917	-9.53430767290114	1.50888977853731e-21	4.84512010655184e-20
gene-YDL130W-A	gene-YDL130W-A	1483.88380828164	-4.26474736157336	0.447671284254582	-9.52651535082175	1.6265134101528e-21	5.19411864824619e-20
gene-YHR170W	gene-YHR170W	1725.01549828374	3.86740005544757	0.406215916154729	9.52055274460114	1.72260345923126e-21	5.47091328144922e-20
gene-YPL226W	gene-YPL226W	2310.10292658534	4.2235214235449	0.443654042807397	9.51985334523022	1.73423628681141e-21	5.47792461899342e-20
gene-YPL004C	gene-YPL004C	3292.9987640965	-3.97754569418896	0.418123097522453	-9.51285809790828	1.85494689986007e-21	5.82754128756039e-20
gene-YPL245W	gene-YPL245W	404.009363783297	4.99478257385213	0.525246801654795	9.50940121504028	1.91763137120683e-21	5.99208254271725e-20
gene-YLL008W	gene-YLL008W	1387.66180331325	4.13164033735075	0.434700808882219	9.50456095992728	2.00893637398271e-21	6.2438172222393e-20
gene-YER126C	gene-YER126C	1730.34666264809	3.7689795843838	0.396894861210222	9.49616624637398	2.17759986348347e-21	6.73202681200316e-20
gene-YDR399W	gene-YDR399W	2786.9307315216	4.42756803766888	0.466409294706396	9.49288122668317	2.24734989257536e-21	6.91089818817355e-20
gene-YGL225W	gene-YGL225W	414.567961461485	4.5552164118044	0.481008415207949	9.47013870814526	2.79472333403102e-21	8.54891158809909e-20
gene-YNL055C	gene-YNL055C	7644.62482225427	-3.83839445180515	0.405710548436784	-9.46091854548671	3.05249804403335e-21	9.28854378634651e-20
gene-YOR306C	gene-YOR306C	593.552507455162	4.29518715609172	0.454698441457421	9.44623241356312	3.51246221422236e-21	1.06325158276356e-19
gene-YGR157W	gene-YGR157W	2079.74087260187	-3.87454644848689	0.410543352486177	-9.43760610182416	3.81393094544356e-21	1.14852676968487e-19
